location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60001039;10000042;11132;0;0;2025-07-29;10;37000.00;37000.00;37000.00;1;370000
60001039;10000042;12066;0;0;2025-07-29;1;315000.00;315000.00;315000.00;1;315000
60001039;10000042;16275;0;0;2025-07-29;27500;3999.00;3999.00;3999.00;1;109972500
60001039;10000042;19739;0;0;2025-07-29;1;3500000.00;3500000.00;3500000.00;1;3500000
60001039;10000042;26892;0;0;2025-07-29;3;7176000.00;7176000.00;5382000.00;3;21528000
60001039;10000042;33475;0;0;2025-07-29;1;12500000.00;12500000.00;12500000.00;1;12500000
60001039;10000042;60291;0;0;2025-07-29;2;687000.00;687000.00;687000.00;1;1374000
60001045;10000042;17938;0;0;2025-07-29;2;100000.00;100000.00;66666.67;2;200000
60001051;10000067;3715;1;0;2025-07-29;68076;90.30;90.30;90.30;1;6147263
60001051;10000067;16262;1;0;2025-07-29;22;240000.00;240000.00;240000.00;1;5280000
60001054;10000067;210;0;0;2025-07-29;7000;19.00;19.00;14.78;2;133000
60001054;10000067;620;0;0;2025-07-29;1;15000000.00;15000000.00;15000000.00;1;15000000
60001054;10000067;622;0;0;2025-07-29;1;17000000.00;17000000.00;17000000.00;1;17000000
60001054;10000067;32880;0;0;2025-07-29;1;350000.00;350000.00;350000.00;1;350000
60001057;10000067;211;0;0;2025-07-29;2000;15.00;15.00;15.00;1;30000
60001057;10000067;3715;1;0;2025-07-29;68076;90.30;90.30;90.30;1;6147263
60001057;10000067;11351;1;0;2025-07-29;1;205.00;205.00;205.00;1;205
60001060;10000067;2175;0;0;2025-07-29;5;1150000.00;1150000.00;1150000.00;1;5750000
60001060;10000067;12818;0;0;2025-07-29;4;220000.00;220000.00;220000.00;1;880000
60001060;10000067;17894;1;0;2025-07-29;2;660000.00;660000.00;660000.00;1;1320000
60001060;10000067;17895;1;0;2025-07-29;2;2510000.00;2510000.00;2510000.00;1;5020000
60001063;10000067;40;0;0;2025-07-29;74;6301.00;6301.00;6301.00;1;466274
60001063;10000067;2456;0;0;2025-07-29;1;494000.00;494000.00;494000.00;1;494000
60001063;10000067;3033;0;0;2025-07-29;3;1270000.00;1270000.00;1270000.00;1;3810000
60001063;10000067;3715;1;0;2025-07-29;136152;90.30;90.30;90.30;1;12294526
60001063;10000067;11134;0;0;2025-07-29;1;22000.00;22000.00;22000.00;1;22000
60001063;10000067;57478;0;0;2025-07-29;40;150000.00;150000.00;150000.00;1;6000000
60001063;10000067;57486;0;0;2025-07-29;20;119000.00;119000.00;119000.00;1;2380000
60001069;10000020;35;1;0;2025-07-29;21389;19.50;19.50;19.50;1;417086
60001069;10000020;1319;0;0;2025-07-29;2;500000.00;500000.00;500000.00;1;1000000
60001069;10000020;1944;0;0;2025-07-29;2;4500000.00;4500000.00;3000000.00;2;9000000
60001069;10000020;2205;0;0;2025-07-29;5;499000.00;499000.00;499000.00;1;2495000
60001069;10000020;29248;0;0;2025-07-29;1;850000.00;850000.00;850000.00;1;850000
60001072;10000020;4435;1;0;2025-07-29;1;1820.00;1820.00;1820.00;1;1820
60001072;10000020;4471;1;0;2025-07-29;2;302.00;302.00;201.33;2;604
60001072;10000020;5093;1;0;2025-07-29;3;1801.00;1801.00;1801.00;1;5403
60001072;10000020;5141;1;0;2025-07-29;3;100.00;100.00;100.00;1;300
60001072;10000020;8175;1;0;2025-07-29;1;981.00;981.00;981.00;1;981
60001072;10000020;9556;1;0;2025-07-29;3;201.70;201.70;121.08;2;605
60001072;10000020;13283;1;0;2025-07-29;1;3010.00;3010.00;3010.00;1;3010
60001075;10000020;2454;0;0;2025-07-29;5;7500.00;7500.00;7500.00;1;37500
60001075;10000020;11129;0;0;2025-07-29;1;80000.00;80000.00;80000.00;1;80000
60001081;10000020;34;0;0;2025-07-29;8300;3.70;3.70;3.70;1;30710
60001081;10000020;244;1;0;2025-07-29;3;51.60;51.60;38.65;2;155
60001081;10000020;5869;1;0;2025-07-29;2;100.10;100.10;100.10;1;200
60001081;10000020;11134;0;0;2025-07-29;2;35000.00;35000.00;23333.33;2;70000
60001081;10000020;32880;0;0;2025-07-29;1;340000.00;340000.00;340000.00;1;340000
